English Word,Persian Translation,Encyclopedia Translation,User Suggestion
barrier,سد,,
barycenter,گرانیگاه,,
barycentric coordinates,مختصات گرانیگاهی,,
base 1,پایه,,
base 2,قاعده,,
base field = ground field,میدان زمینه,,
base of a logarithm = logarithm base = logarithmic base,پایه لگاریتم,,
base of a logarithmic function,پایۀ تابع لگاریتمی,,
base of a number system,پایۀ دستگاه عددی,,
base of a topological space,پایۀ فضای توپولوژیک,,
base of a triangle,قاعدۀ مثلث,,
base period,دورۀ پایه,,
base space of a fiber bundle,فضای پایۀ کلاف تاری,,
basic field of a linear space,میدان زمینۀ فضای خطی,,
basic sets of a linear space,مجموعه‌های اساسی فضای خطی,,
basic solution,جواب پایه‌ای,,
basic space → sample space,,,
basic variable,متغیر پایه‌ای,,
basic vector,بردار پایه‌ای,,
basin of attraction → domain of attraction,,,
basis,پایه,,
basis element,عضو پایه,,
basis matrix,ماتریس پایه,,
basis of a vector space,پایۀ فضای برداری,,
Bayes decision rule,قاعدۀ تصمیم بیز,,
Bayes estimator,برآوردگر بیزی,,
Bayes formula,فرمول بیز,,
Bayes loss,زیان بیزی,,
Bayes procedure,شیوه بیزی,,
Bayes risk,مخاطرۀ بیزی,,
Bayes rule,قاعده بیز,,
Bayes theorem,قضیۀ بیز,,
Bayesian inference,استنباط بیزی,,
behaviour,رفتار,,
Behrence-Fisher test,آزمون برنس-فیشر,,
bell-shaped curve,خم زنگدیس,,
belt theorem,قضیۀ تسمه,,
Beltrami-Klein model,مدل بلترامی-کلاین,,
bending a surface,خماندن رویه,,
bending moment,گشتاور خمشی,,
Bernoulli sequence,دنبالۀ برنولی,,
Bernoulli differential equation,معادلۀ دیفرانسیل برنولی,,
Bernoulli distribution,توزیع برنولی,,
Bernoulli equation,معادله برنولی,,
Bernoulli experiment,آزمایش برنولی,,
Bernoulli integral,انتگرال برنولی,,
Bernoulli lemniscate,پروانۀ برنولی,,
Bernoulli measure,اندازۀ برنولی,,
Bernoulli method,روش برنولی,,
Bernoulli model,مدل برنولی,,
Bernoulli numbers,عددهای برنولی,,
Bernoulli polynomials,چندجمله‌‌ای برنولی,,
Bernoulli random walk,قدم زدن تصادفی برنولی,,
Bernoulli regression,رگرسیون برنولی,,
Bernoulli shift,تغییر جای برنولی,,
Bernoulli spiral,مارپیچ برنولی,,
Bernoulli theorem,قضیۀ برنولی,,
Bernoulli trail,آزمایۀ برنولی,,
Bernstein algebra,جبر بِرنشتاین,,
Bernstein inequality,نامعادلۀ بِرنشتاین,,
Bernstein interpolation method,روش درونیابی بِرنشتاین,,
Bernstein theorem,قضیۀ بِرنشتاین,,
Bertrand curve = associate curve = conjugate curve,خمِ برتران، خم مزدوج,,
Bessel differential equation,معادلۀ دیفرانسیل بسل,,
Bessel functions,تابع‌های بسل,,
Bessel inequality,نابرابری بسل,,
Bessel integral,انتگرال بسل,,
Bessel interpolation formula,فرمول درونیابی بسل,,
Bessel polynomials,چندجمله‏ای‏های بسل,,
Bessel potential,پتانسیل بسل,,
Bessel potential operator,عملگر پتانسیلی بسل,,
Bessel potential space,فضای پتانسیلی بسل,,
best approximation,بهترین تقریب,,
best approximation in the mean,بهترین تقریب در میانگین,,
best approximation of a continuous function,بهترین تقریب تابع پیوسته,,
best approximation of an irrational number,بهترین تقریب عدد گنگ,,
best asymptotically normal estimator,بهترین برآوردگر مجانباً نرمال,,
best complete approximation,بهترین تقریب کامل,,
best estimator,بهترین برآوردگر,,
best fit line → line of best fit,,,
best fitting curve,خم بهترین برازش,,
best invariant estimator,بهترین برآوردگر ناوردا,,
best linear method,بهترین روش خطی,,
best linear unbiased estimation,بهترین برآورد خطی نااریب,,
best linear unbiased estimator,بهترین برآوردگر خطی نااریب,,
best predictor,بهترین پیشگو,,
best quadrature formula,بهترین فرمول انتگرال‌گیری,,
beta distribution,توزیع بتا,,
beta function,تابع بتا,,
Betti group,گروه بتی,,
Betti numbers,عددهای بتی,,
betweenness axiom,اصل موضوع میان‌بود,,
Bezout theorem,قضیۀ بِزو,,
biadditive mapping,نگاشت دوجمعی,,
bias,اریبی,,
bias error,خطای اریبی,,
biased estimator,برآوردگر اریب,,
biased sample,نمونۀ اریب,,
biased statistic,آمارۀ اریب,,
biased test,آزمون اریب,,
bicompact set → compact set,,,
bicompact space → compact space,,,
bicomplex = double complex,مجتمع دوگانه,,
biconditional statement,گزارۀ دوشرطی,,
biconnected space,فضای دوهمبند,,
bicontinuous function,تابع دوسو‌پیوسته,,
bicyclic semigroup,نیم‏گروه دودوری,,
Bieberbach conjecture,حدس بیبرباخ,,
bifolium,دوبرگینه,,
bigraph → bipartite graph,,,
biharmonic boundary value problem,مسأله مقدارمرزی دوهمساز,,
biharmonic function,تابع دوهمساز,,
biholomorphic mapping → analytic isomorphism,,,
bijection = bijective mapping,نگاشت دوسویی,,
bijective mapping → bijection,,,
bijective transformation,تبدیل دوسویی,,
bilinear form,صورت دوخطی,,
bilinear functional,تابعک دوخطی,,
bilinear mapping,نگاشت دوخطی,,
bilinear operation,عمل دوخطی,,
bimodal distribution,توزیع دومدی,,
bimodule,دومدول,,
binary code,کد دودویی,,
binary encoding,کدگذاری دودویی,,
binary Hamming code,کد همینگ دودویی,,
binary number system = dyadic number system = binary system = binary notation,دستگاه اعداد دودویی، دستگاه دودویی,,
binary notation → binary number system,,,
binary operation,عمل دوتایی,,
binary operator,عملگر دوتایی,,
binary quadratic form,صورت درجۀ دوم دو‌متغیره,,
binary relation,رابطۀ دوتایی,,
binary system → binary number system,,,
binary word,واژۀ دودویی,,
Binet formula,فرمول بینه,,
binomial approximation,تقریب دوجمله‌ای,,
binomial array,آرایۀ دوجمله‌ای,,
binomial coefficient,ضریب‌ دوجمله‌ای,,
binomial congruence,همنهشتی دوجمله‌ای,,
binomial distribution,توزیع دوجمله‌ای,,
binomial equation,معادلۀ دوجمله‌ای,,
binomial expansion,بسط دوجمله‌ای,,
binomial expression,عبارت دوجمله‌ای,,
binomial formula,فرمول دوجمله‌ای,,
binomial integral,انتگرال دوجمله‌ای,,
binomial probability,احتمال دوجمله‌ای,,
binomial proportion,نسبت دوجمله‌ای,,
binomial series,سری دوجمله‌ای,,
binomial theorem,قضیۀ دوجمله‌ای,,
binomial trail,آزمایۀ دوجمله‌ای,,
binomial waiting time distribution,توزیع زمان انتظار دوجمله‌ای,,
binormal,قائم دوم,,
binormal indicatrix,نشانگر قائم دوم,,
biomathematics,ریاضیات زیستی، زیست‏ریاضی,,
biostatistics,آمار زیستی، زیست‌آمار,,
bipartite graph = bigraph,گراف دوبخشی,,
bipolar coordinates,مختصات دوقطبی,,
bipolar theorem,قضیۀ دوقطبی,,
biquadratic equation 1 → quadratic equation,,,
biquadratic equation 2,معادلۀ دومجذوری,,
birectangular spherical triangle,مثلث کروی دوقائمه‌ای,,
Birkhoff integral,انتگرال برکاف,,
birth and death process,فرایند زاد و مرگ,,
birth process,فرایند زاد,,
bisector,نیمساز,,
bisectrix → angle bisector,,,
biseparating map,نگاشت دوسوجداساز,,
Bishop mathematics,ریاضیات بیشاپ,,
bivalent logic = two-valued logic,منطق دوارزشی,,
bivariate binomial distribution,توزیع دوجمله‌ای دومتغیره,,
bivariate distribution,توزیع دومتغیره,,
bivariate generating function,تابع مولد دومتغیره,,
bivariate normal distribution,توزیع نرمال دومتغیره,,
bivariate polynomial = polynomial in two variables,چندجمله‌ای دومتغیره,,
bivariate transformation,تبدیل دومتغیره,,
black hole,سیاه‌چاله,,
block,بلوک,,
block cipher,رمز بلوکی,,
block design,طرح بلوکی,,
block effect,اثر بلوکی,,
block multiplication,ضرب بلوکی,,
Boltzmann constant,ثابت بولتسمان,,
Boltzmann equation,معادلۀ بولتسمان,,
Boltzmann relation,رابطۀ بولتسمان,,
Bolyai geometry,هندسۀ بویویی,,
Bolzano-Weierstrass theorem,قضیۀ بولتسانو- وایرشتراس,,
Bonnet mean value theorem,قضیۀ مقدار میانگین بونه,,
Boolean algebra,جبر بولی,,
Boolean function,تابع بولی,,
Boolean lattice,مشبّکۀ بولی,,
Boolean logic,منطق بولی,,
Boolean operations,عمل‌های بولی,,
Boolean ring,حلقۀ بولی,,
Boolean space,فضای بولی,,
Borel class,ردۀ بورل,,
Borel field,میدان بورل,,
Borel measurable function,تابع بورل‌اندازه‌پذیر,,
Borel measure,اندازۀ بورل,,
Borel set,مجموعۀ بورل,,
Borel-Lebesgue theorem,قضیۀ بورل- لبگ,,
Bose-Einstein distribution,توزیع بوز-اینشتین,,
Bott generators,مولدهای بات,,
Bott isomorphism,یکریختی بات,,
bound,کران,,
bound occurrence,مورد پابند,,
bound of a function,کرانِ تابع,,
bound variable,متغیر پابند,,
boundary,مرز,,
boundary condition,شرط مرزی,,
boundary layer,لایۀ مرزی,,
boundary of a set,مرز مجموعه,,
boundary operator,عملگر مرزی,,
boundary point,نقطۀ مرزی,,
boundary point of a set → frontier point,,,
of a set,,,
boundary set,مجموعۀ مرزی,,
boundary space,فضای مرزی,,
boundary value conditions,شرط‌های مقدار مرزی,,
boundary value problem,مسأله مقدار مرزی,,
bounded above = bounded from above,بالاکراندار,,
bounded below = bounded from below,پایین‌کراندار,,
bounded convergence theorem,قضیۀ همگرایی کراندار,,
bounded from above → bounded above,,,
bounded from below → bounded below,,,
bounded function,تابع کراندار,,
bounded interval,بازه کران‌دار,,
bounded inverse theorem = inverse mapping theorem,قضیۀ کرانداری وارون,,
bounded linear operator,عملگر خطی کراندار,,
bounded linear transformation,تبدیل خطی کراندار,,
bounded mapping,نگاشت کراندار,,
bounded matrix,ماتریس کراندار,,
bounded measurable function,تابع اندازه‌پذیر کراندار,,
bounded measure,اندازۀ کراندار,,
bounded measure space,فضای اندازۀ کراندار,,
bounded metric space,فضای متریک کراندار,,
bounded operator,عملگر کراندار,,
bounded sequence,دنبالۀ کراندار,,
bounded set,مجموعۀ کراندار,,
bounded uniform space,فضای یکنواخت کراندار,,
bounded variation,وردش کراندار,,
boundedness principle,اصل کرانداری,,
box topology,توپولوژی جعبه‌ای,,
brace,ابرو,,
brachistochrone = curve of shortest descent time = curve of fastest descent,خم کوتاهترین زمان، خم تندترین سقوط,,
